timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628877854580,30,HTTP Request,200,OK,Fetch Player By Id 2-1,text,true,,267,129,3,3,http://localhost:4000/api/player/2,30,0,21
1628877854580,30,HTTP Request,200,OK,Fetch Player By Id 2-2,text,true,,267,129,3,3,http://localhost:4000/api/player/3,30,0,21
1628877854581,14,HTTP Request,200,OK,Fetch Player By Id 2-3,text,true,,267,129,3,3,http://localhost:4000/api/player/4,14,0,6
1628877854619,1,HTTP Request,200,OK,Fetch Player By Id 2-4,text,true,,267,129,1,1,http://localhost:4000/api/player/5,1,0,0
1628877854666,2,HTTP Request,200,OK,Fetch Player By Id 2-5,text,true,,267,129,1,1,http://localhost:4000/api/player/6,2,0,1
1628877854711,3,HTTP Request,200,OK,Fetch Player By Id 2-6,text,true,,267,129,1,1,http://localhost:4000/api/player/7,3,0,1
1628877854765,1,HTTP Request,200,OK,Fetch Player By Id 2-7,text,true,,267,129,1,1,http://localhost:4000/api/player/8,1,0,0
1628877854815,1,HTTP Request,200,OK,Fetch Player By Id 2-8,text,true,,267,129,1,1,http://localhost:4000/api/player/9,1,0,0
1628877854864,2,HTTP Request,200,OK,Fetch Player By Id 2-9,text,true,,268,130,1,1,http://localhost:4000/api/player/10,2,0,1
1628877854914,2,HTTP Request,200,OK,Fetch Player By Id 2-10,text,true,,268,130,1,1,http://localhost:4000/api/player/11,2,0,1
1628877854961,3,HTTP Request,200,OK,Fetch Player By Id 2-11,text,true,,268,130,1,1,http://localhost:4000/api/player/12,2,0,1
1628877855011,2,HTTP Request,200,OK,Fetch Player By Id 2-12,text,true,,268,130,1,1,http://localhost:4000/api/player/13,2,0,1
1628877855060,1,HTTP Request,200,OK,Fetch Player By Id 2-13,text,true,,268,130,1,1,http://localhost:4000/api/player/14,1,0,0
1628877855106,2,HTTP Request,200,OK,Fetch Player By Id 2-14,text,true,,268,130,1,1,http://localhost:4000/api/player/15,2,0,1
1628877855160,3,HTTP Request,200,OK,Fetch Player By Id 2-15,text,true,,268,130,1,1,http://localhost:4000/api/player/16,3,0,1
1628877855209,3,HTTP Request,200,OK,Fetch Player By Id 2-16,text,true,,268,130,1,1,http://localhost:4000/api/player/17,3,0,1
1628877855254,1,HTTP Request,200,OK,Fetch Player By Id 2-17,text,true,,268,130,1,1,http://localhost:4000/api/player/18,1,0,0
1628877855301,1,HTTP Request,200,OK,Fetch Player By Id 2-18,text,true,,268,130,1,1,http://localhost:4000/api/player/19,1,0,0
1628877855354,3,HTTP Request,200,OK,Fetch Player By Id 2-19,text,true,,268,130,1,1,http://localhost:4000/api/player/20,2,0,1
1628877855402,1,HTTP Request,200,OK,Fetch Player By Id 2-20,text,true,,268,130,1,1,http://localhost:4000/api/player/21,1,0,0
1628877855451,2,HTTP Request,200,OK,Fetch Player By Id 2-21,text,true,,268,130,1,1,http://localhost:4000/api/player/22,2,0,1
1628877855501,3,HTTP Request,200,OK,Fetch Player By Id 2-22,text,true,,268,130,1,1,http://localhost:4000/api/player/23,3,0,1
1628877855555,2,HTTP Request,200,OK,Fetch Player By Id 2-23,text,true,,268,130,1,1,http://localhost:4000/api/player/24,2,0,1
1628877855600,3,HTTP Request,200,OK,Fetch Player By Id 2-24,text,true,,268,130,1,1,http://localhost:4000/api/player/25,3,0,2
1628877855653,2,HTTP Request,200,OK,Fetch Player By Id 2-25,text,true,,268,130,1,1,http://localhost:4000/api/player/26,2,0,1
1628877855702,2,HTTP Request,200,OK,Fetch Player By Id 2-26,text,true,,268,130,1,1,http://localhost:4000/api/player/27,2,0,1
1628877855754,2,HTTP Request,200,OK,Fetch Player By Id 2-27,text,true,,268,130,1,1,http://localhost:4000/api/player/28,2,0,1
1628877855800,3,HTTP Request,200,OK,Fetch Player By Id 2-28,text,true,,268,130,1,1,http://localhost:4000/api/player/29,3,0,1
1628877855853,1,HTTP Request,200,OK,Fetch Player By Id 2-29,text,true,,268,130,1,1,http://localhost:4000/api/player/30,1,0,0
1628877855902,2,HTTP Request,200,OK,Fetch Player By Id 2-30,text,true,,268,130,1,1,http://localhost:4000/api/player/31,2,0,1
