timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628877842516,38,HTTP Request,200,OK,Fetch Player Index 1-2,text,true,,261,127,3,3,http://localhost:4000/api/player,36,0,21
1628877842516,12,HTTP Request,200,OK,Fetch Player Index 1-3,text,true,,261,127,3,3,http://localhost:4000/api/player,10,0,1
1628877842516,38,HTTP Request,200,OK,Fetch Player Index 1-1,text,true,,261,127,3,3,http://localhost:4000/api/player,36,0,21
1628877842553,3,HTTP Request,200,OK,Fetch Player Index 1-4,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842607,2,HTTP Request,200,OK,Fetch Player Index 1-5,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1628877842653,2,HTTP Request,200,OK,Fetch Player Index 1-6,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842704,2,HTTP Request,200,OK,Fetch Player Index 1-7,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842755,2,HTTP Request,200,OK,Fetch Player Index 1-8,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842806,2,HTTP Request,200,OK,Fetch Player Index 1-9,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842854,2,HTTP Request,200,OK,Fetch Player Index 1-10,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842907,2,HTTP Request,200,OK,Fetch Player Index 1-11,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877842955,2,HTTP Request,200,OK,Fetch Player Index 1-12,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843006,3,HTTP Request,200,OK,Fetch Player Index 1-13,text,true,,261,127,1,1,http://localhost:4000/api/player,3,0,1
1628877843054,2,HTTP Request,200,OK,Fetch Player Index 1-14,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843104,1,HTTP Request,200,OK,Fetch Player Index 1-15,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877843153,1,HTTP Request,200,OK,Fetch Player Index 1-16,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877843201,2,HTTP Request,200,OK,Fetch Player Index 1-17,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843254,2,HTTP Request,200,OK,Fetch Player Index 1-18,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843304,2,HTTP Request,200,OK,Fetch Player Index 1-19,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843355,2,HTTP Request,200,OK,Fetch Player Index 1-20,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843405,2,HTTP Request,200,OK,Fetch Player Index 1-21,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1628877843453,1,HTTP Request,200,OK,Fetch Player Index 1-22,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877843504,2,HTTP Request,200,OK,Fetch Player Index 1-23,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843554,2,HTTP Request,200,OK,Fetch Player Index 1-24,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843605,2,HTTP Request,200,OK,Fetch Player Index 1-25,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843656,2,HTTP Request,200,OK,Fetch Player Index 1-26,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843702,2,HTTP Request,200,OK,Fetch Player Index 1-27,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843755,2,HTTP Request,200,OK,Fetch Player Index 1-28,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843803,2,HTTP Request,200,OK,Fetch Player Index 1-29,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843856,2,HTTP Request,200,OK,Fetch Player Index 1-30,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843903,2,HTTP Request,200,OK,Fetch Player Index 1-31,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877843956,3,HTTP Request,200,OK,Fetch Player Index 1-32,text,true,,261,127,1,1,http://localhost:4000/api/player,3,0,1
1628877844005,2,HTTP Request,200,OK,Fetch Player Index 1-33,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844053,2,HTTP Request,200,OK,Fetch Player Index 1-34,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844101,2,HTTP Request,200,OK,Fetch Player Index 1-35,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844154,2,HTTP Request,200,OK,Fetch Player Index 1-36,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844202,2,HTTP Request,200,OK,Fetch Player Index 1-37,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844255,1,HTTP Request,200,OK,Fetch Player Index 1-38,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877844304,2,HTTP Request,200,OK,Fetch Player Index 1-39,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844354,2,HTTP Request,200,OK,Fetch Player Index 1-40,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844406,2,HTTP Request,200,OK,Fetch Player Index 1-41,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844452,2,HTTP Request,200,OK,Fetch Player Index 1-42,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844506,1,HTTP Request,200,OK,Fetch Player Index 1-43,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,1
1628877844556,2,HTTP Request,200,OK,Fetch Player Index 1-44,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877844604,2,HTTP Request,200,OK,Fetch Player Index 1-45,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844656,2,HTTP Request,200,OK,Fetch Player Index 1-46,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844704,2,HTTP Request,200,OK,Fetch Player Index 1-47,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844757,2,HTTP Request,200,OK,Fetch Player Index 1-48,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844807,2,HTTP Request,200,OK,Fetch Player Index 1-49,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844854,2,HTTP Request,200,OK,Fetch Player Index 1-50,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844904,2,HTTP Request,200,OK,Fetch Player Index 1-51,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877844953,2,HTTP Request,200,OK,Fetch Player Index 1-52,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845007,2,HTTP Request,200,OK,Fetch Player Index 1-53,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845056,1,HTTP Request,200,OK,Fetch Player Index 1-54,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877845106,2,HTTP Request,200,OK,Fetch Player Index 1-55,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845153,1,HTTP Request,200,OK,Fetch Player Index 1-56,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877845205,2,HTTP Request,200,OK,Fetch Player Index 1-57,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845255,2,HTTP Request,200,OK,Fetch Player Index 1-58,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845307,2,HTTP Request,200,OK,Fetch Player Index 1-59,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845354,2,HTTP Request,200,OK,Fetch Player Index 1-60,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845403,2,HTTP Request,200,OK,Fetch Player Index 1-61,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845453,1,HTTP Request,200,OK,Fetch Player Index 1-62,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877845504,2,HTTP Request,200,OK,Fetch Player Index 1-63,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845557,2,HTTP Request,200,OK,Fetch Player Index 1-64,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845604,1,HTTP Request,200,OK,Fetch Player Index 1-65,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877845653,1,HTTP Request,200,OK,Fetch Player Index 1-66,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877845703,2,HTTP Request,200,OK,Fetch Player Index 1-67,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845755,1,HTTP Request,200,OK,Fetch Player Index 1-68,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877845804,2,HTTP Request,200,OK,Fetch Player Index 1-69,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845856,2,HTTP Request,200,OK,Fetch Player Index 1-70,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845904,2,HTTP Request,200,OK,Fetch Player Index 1-71,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877845953,2,HTTP Request,200,OK,Fetch Player Index 1-72,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877846005,2,HTTP Request,200,OK,Fetch Player Index 1-73,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877846054,2,HTTP Request,200,OK,Fetch Player Index 1-74,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,1
1628877846101,2,HTTP Request,200,OK,Fetch Player Index 1-75,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1628877846153,1,HTTP Request,200,OK,Fetch Player Index 1-76,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1628877846203,3,HTTP Request,200,OK,Fetch Player Index 1-77,text,true,,261,127,1,1,http://localhost:4000/api/player,3,0,2
1628877846254,2,HTTP Request,200,OK,Fetch Player Index 1-78,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877846303,2,HTTP Request,200,OK,Fetch Player Index 1-79,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877846354,2,HTTP Request,200,OK,Fetch Player Index 1-80,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,1
1628877846404,2,HTTP Request,200,OK,Fetch Player Index 1-81,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1628877846453,3,HTTP Request,200,OK,Fetch Player Index 1-82,text,true,,261,127,1,1,http://localhost:4000/api/player,3,0,2
1628877846505,1,HTTP Request,200,OK,Fetch Player Index 1-83,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
