timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1630260763475,32,HTTP Request,200,OK,Fetch Player Index 1-2,text,true,,261,127,3,3,http://localhost:4000/api/player,30,0,22
1630260763489,17,HTTP Request,200,OK,Fetch Player Index 1-3,text,true,,261,127,3,3,http://localhost:4000/api/player,15,0,7
1630260763475,32,HTTP Request,200,OK,Fetch Player Index 1-1,text,true,,261,127,3,3,http://localhost:4000/api/player,30,0,22
1630260763536,1,HTTP Request,200,OK,Fetch Player Index 1-4,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,1
1630260763586,2,HTTP Request,200,OK,Fetch Player Index 1-5,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260763635,2,HTTP Request,200,OK,Fetch Player Index 1-6,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260763686,2,HTTP Request,200,OK,Fetch Player Index 1-7,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260763734,2,HTTP Request,200,OK,Fetch Player Index 1-8,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260763782,2,HTTP Request,200,OK,Fetch Player Index 1-9,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260763836,1,HTTP Request,200,OK,Fetch Player Index 1-10,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260763885,1,HTTP Request,200,OK,Fetch Player Index 1-11,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260763935,2,HTTP Request,200,OK,Fetch Player Index 1-12,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260763981,2,HTTP Request,200,OK,Fetch Player Index 1-13,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764031,2,HTTP Request,200,OK,Fetch Player Index 1-14,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764084,2,HTTP Request,200,OK,Fetch Player Index 1-15,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764135,2,HTTP Request,200,OK,Fetch Player Index 1-16,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764186,2,HTTP Request,200,OK,Fetch Player Index 1-17,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260764235,2,HTTP Request,200,OK,Fetch Player Index 1-18,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764285,2,HTTP Request,200,OK,Fetch Player Index 1-19,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764331,2,HTTP Request,200,OK,Fetch Player Index 1-20,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260764381,3,HTTP Request,200,OK,Fetch Player Index 1-21,text,true,,261,127,1,1,http://localhost:4000/api/player,3,0,1
1630260764431,2,HTTP Request,200,OK,Fetch Player Index 1-22,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260764484,1,HTTP Request,200,OK,Fetch Player Index 1-23,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260764532,3,HTTP Request,200,OK,Fetch Player Index 1-24,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764585,2,HTTP Request,200,OK,Fetch Player Index 1-25,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764633,2,HTTP Request,200,OK,Fetch Player Index 1-26,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764682,2,HTTP Request,200,OK,Fetch Player Index 1-27,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260764731,2,HTTP Request,200,OK,Fetch Player Index 1-28,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764780,2,HTTP Request,200,OK,Fetch Player Index 1-29,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764831,2,HTTP Request,200,OK,Fetch Player Index 1-30,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260764886,2,HTTP Request,200,OK,Fetch Player Index 1-31,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260764930,1,HTTP Request,200,OK,Fetch Player Index 1-32,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260764980,2,HTTP Request,200,OK,Fetch Player Index 1-33,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765030,2,HTTP Request,200,OK,Fetch Player Index 1-34,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765080,2,HTTP Request,200,OK,Fetch Player Index 1-35,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765134,2,HTTP Request,200,OK,Fetch Player Index 1-36,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765183,2,HTTP Request,200,OK,Fetch Player Index 1-37,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765232,2,HTTP Request,200,OK,Fetch Player Index 1-38,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765280,2,HTTP Request,200,OK,Fetch Player Index 1-39,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765330,2,HTTP Request,200,OK,Fetch Player Index 1-40,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260765382,2,HTTP Request,200,OK,Fetch Player Index 1-41,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765433,2,HTTP Request,200,OK,Fetch Player Index 1-42,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765485,2,HTTP Request,200,OK,Fetch Player Index 1-43,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,0
1630260765532,2,HTTP Request,200,OK,Fetch Player Index 1-44,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765580,1,HTTP Request,200,OK,Fetch Player Index 1-45,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260765630,2,HTTP Request,200,OK,Fetch Player Index 1-46,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765680,2,HTTP Request,200,OK,Fetch Player Index 1-47,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765731,2,HTTP Request,200,OK,Fetch Player Index 1-48,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765783,2,HTTP Request,200,OK,Fetch Player Index 1-49,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765831,2,HTTP Request,200,OK,Fetch Player Index 1-50,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765880,1,HTTP Request,200,OK,Fetch Player Index 1-51,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260765930,2,HTTP Request,200,OK,Fetch Player Index 1-52,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
1630260765980,1,HTTP Request,200,OK,Fetch Player Index 1-53,text,true,,261,127,1,1,http://localhost:4000/api/player,1,0,0
1630260766032,2,HTTP Request,200,OK,Fetch Player Index 1-54,text,true,,261,127,1,1,http://localhost:4000/api/player,2,0,1
